text	Class
"Being employed in the Agricultural sector, they sometimes find it difficult to pay our fees, school fees and other utilities. "	Negative
"Moreover, the habbit of loneliness. It has been my daily prayer that God should take away the habit of loneliness from me because I sometimes feel like being lonely when I am learning but it is not helping me because when I am learning and I come out with something difficult, I cannot get access to someone to assist me."	Negative
"Lastly, improper teaching of the English Language in my basic level. English Language is an official language in the world but due to the improper teaching of how to speak the English Language in my basic level, I finds it difficult to express myself in some situations. This is affecting my education because I cannot perform better in English Language during Examination"	Negative
"Continually in the same year, I would say my grandfather in his way of going to sleep to watch the school item fell down and had stroke. This was a problem since she supports my education."	Negative
"And some of these act are stealing mothers money, shouting towards father, leaving the house to stay another isolated areas when they speak to me on behalf of wrong doing, stealing some fruits from farmers farm at Atwima Takyiman underground. I fear that all that will jeopadise my future"	Negative
"The students in my school do not like speaking English always so it like when I am speaking it, I feel shy and this also affect me academically because we use English to write our examination and everything we do in school and we are not speaking it, so this also account for the low performance of my academic success."	Negative
The fear of being late to school. I get punish all the time since I am a day student	Negative
I do not study enough as I do not understand it properly. I am afrad this might affect my final performance.	Negative
"I complained about a colleague's behaviour as she goes back on her word, is often absent and is irresponsible. I found out that she was an alcoholic and was trying to fight against her addiction."	Negative
"I felt fear of the purest kind after a car accident.  The incident and images of horror kept coming back to my mind.  I wondered what could have happened to my sister, my friend and me, though nothing very serious actually happened."	Negative
I happened to overhear something which I was not meant to hear and this got me worried	Negative
"I saw a neighbour, from the same appartment block as me, lying  on the road.  He could have been injured or ill.  I kept 20 metres away and did not go to help him. I was afraid of how I could help."	Negative
"In a cottage in a large forest, I was alone for a while in the dark."	Negative
I fear that if I loose my mother my education will end since I have no one	Negative
"When I had to move away from home to study, and I knew that I would not be coming back home for a long time. Felt scary and not sure what will happen to me."	Negative
When my father was ill and was waiting for the results of his tests.	Negative
"Sometimes, I feel like killing my father for doing bad things to me and my siblings "	Negative
"I was sent to the hospital and when I got well, I stopped selling the water. Two months later what we will eat was even a problem and this made me to sell soap anytime I close from school and weekends as well. "	Negative
My mother is not able to carry things as a result of carrying food and charcoal to cater for us when my father was not around and because of this she always complains of his head. This has made me suffer a lot in life. 	Negative
"Back in school, I could not answer questions or ask question in class. At the age of 18 I still faced the same problem of shyness. This is not helping me at all when it comes to my educational life. "	Negative
My father though I did not mention him earlier did not help me at all. He left for UK before I was born he gave me to his mum where I started to face this academic constraint. This get me worried about my future everyday	Negative
I am a little shy of older people so I find it very hard to relate with staff members. work because due to my shyness I can find it hard to approach a teacher and ask a question. This does not help me at all and I hope one day I will get rid of this habit of shyness. My relationship to peers come way somehow helps me in my academic work	Negative
"Life as we all know is full of challenges and even the rich man on earth goes through such challenges. So far my life has been full of both good and bad experiences. Firstly, I am from a family where the number of children is five and our parents do not have the adequate funds to cater for us all. "	Negative
"On addiction, I was addicted to games, cartoons, mobile phones, almost all electronic gadget and other that affected my studies"	Negative
My perforance is not so good and I fear to fail the final exams	Negative
"Bad friends, as I know, always deprives one from studying, they always talk about immoral things which prevents one from climbing the educational ladder to the highest level."	Negative
"Although at times it is not easy for me at all because of the lack of some basic necessities like calculator, computer and many others just to mention a few, I put myself together and never let these challenges devour me"	Negative
"Most at times, I pity those who lack absolutely nothing and how they go about their books and even towards hard work."	Positive
"They rather envy and discourages me at all times which I also try all my best to overcome them. Anytime I think about these situations, I myself get partially discourage but then I am strong enough to resist"	Positive
"Social Media: This is another thing that has bad impact on my education. For instance, if there was no phones, television and others. I will have enough time to study my books because the time that I will used to learn."	Negative
"My father has given birth to so many children who are from different mothers but one father who is not capable of taking care of his children. When I picture this in my mind, it seems I have a bigger task to perform when I become a meaningful person in life."	Negative
I fear that my hatred in mathematics can demage my academic development	Negative
I locked myself out and became frustrated 	Negative
"When my friend did not pass the high school graduation, he was demorilised and this made me so sad
examinations."	Negative
This brother day in and day out threaten my mother with a knife to kill her so after one year so after one year my father came to pick us into the city. 	Negative
Relationship is good and fine. I am surrounded by nice people. 	Positive
To begin with my family issues are always cool because there is order in my home and that has influenced my academic development positively. Because of this when I am at school I am able to think freely because there is peace at home. 	Positive
"To begin with, my peers influence my academic work and career development positively"	Positive
I am able to study. And this is good for me and my school work. I feel happy about it.	Positive
As a very open and humble person my relationship with my friends is very cordial and with that of the teachers quite cordial since they are elderly and higher in authority and would have to have certain limitations. 	Positive
"My relationship with my friends and staff has positively impacted on my life since I do not follow bad friends. My friends serve as a supporting hand and they support me in my academic, religious life, finance et in time I need them. A part from this we also organize group discussions where we discuss on certain subject topic which we did not get dear in class. With the kind of relationship I have with my teachers, I am able to go to them at any time to explain certain stuff for me"	Positive
"I give all glory and reverence to my king and creator, the Almighty God for graciously blessing me with this day, life and good health. By the grace of the almighty God, life on this earth cannot be any better than the love of God upon my life which comes with endless joy and peace. "	Positive
I have been fun living with them (parents)	Positive
By GodŐs grace everything has been neutralized and now no more addiction again. My family has actually inspired me to give up my addiction for games	Positive
My relationship with my peers is awesome and this really helps me in my studies a lot.	Positive
My life with my family is good. Because they provide all that I need	Positive
"I belong to a family of 5 comprising me, my dad, mum and two other siblings. The nurturing and up bring of my parents has promoted cooperation amongst us of which I think will place at higher heights one day. "	Positive
"My parents being so prolific and lucrative in what they do also motivate us work very hard. Moreover, I strongly believe that the issues of our welfare are subsequently met and are of standard level. "	Positive
"But all I can say is that, I was really into friendship with a lot of families. Thanks to my sister. Oh my parents demised? Never! That will be an error! May God give them a prosperous and fruitful life to see their generations? "	Positive
"I conclude all these I have mentioned above have helped influenced my academic development positively because of my parents occupation, religion, economic background. Moreover my siblings and other female friends have also played an important role in my academic development not forgetting Jesus Christ as m foundation"	Positive
"My parents have rally being a blessing to me, working hard together to bring me up as a responsible individual. "	Positive
Education is a key to unlocking success and as a result of this; my parents keep on striving hard to fund my education till l reach the peak. God bless them so much. 	Positive
We love our friends and teachers and we know they also love us back	Positive
"One day a Seminarian from the Roman Catholic Church came to my parents and told them he will pay my school fees and also provide all my needs for me. This is how God wondered can do, I was happy when my mother told me what the seminarian said. "	Positive
"Fortunately for me, I met my good Samaritan. A mathematics teacher I never knew just called me one day and asked numerous questions which I answered all. Upon knowing my background, he decided to cater for my needs when it comes to my education. "	Positive
"But for me, I am surrounded by people-friends who cherish tolerance, love me, and encourage me to learn very hard. "	Positive
"Above all, I also learn from their positive attitudes towards studies and hard work in general."	Positive
"When I am encouraged it helps me to act courageously in everything that I do so that when I fail, I will not give up whether in my examination or any task given to me."	Positive
"My social life is very condusive, I try to relate well with other people. I make friends who gives good advice and offers a helping hand whenever you need help. "	Positive
I stick to my education more seriously and always make sure I do not engage myself into any troublesome act and I am very careful in everything I do. 	Positive
"But I have grown to be self-motivated person, I donŐt allow the hardship we are going through to affect my joy and my education as well. I always feel happy and thank God for keeping my parent alive"	Positive
"And because I was performing well in academics, my school head mistress who was heading  Methodist school at that time consult Nana Afua and took me to her house and let me stay in her house comfortably."	Positive
"Since Ňit is said that life is full of uncertaintiesÓ, fortunately my father got a job. He became one of the agent committee who buys cocoa seedlings from the rural areas and sent them to a company called Olam. My family became happy again."	Positive
"My dad tried his best save money and later on when I got to Junior High School level one, my dad came to our mistress, took me to the village oneŐs again and sent me to school. "	Positive
"And God been so good to me, I came out with my B.E.C.E results with flying colours. I got admission at Presbyterian Senior High School. Ant that began the beginning of my hapiness."	Positive
"Immediately we alighted at the school entrance, a certain man welcomed me and said that he is the one IŐm going to stay with and further my education. Ant that my heart jumped with joy."	Positive
I was helped by people to go to school and this I feel good about it 	Positive
I am a girl of 16 years and I am in SHS 1(c). I am the last born of my parent so the make sure that whatever I will ask from them the will give it to me	Positive
"The reason why I am saying this is that I went through a difficult and deadly situation and if it was not by the grace of God, I would be dead by now. Due to this, I always make sure that I will not fall into such situation again. Because I am a science student, my mother make sure she buys me the prescribe books I will ask to buy and this help me a lot to learn hard. "	Positive
"My mother is an educated woman and she is expecting all her children to be well-educated. I always wake up in the dawn and learn and whenever I forget to wake up, she make sure that she wake me up and learn. "	Positive
"Another thing that I like about her (mother) is, she has given me the chance to stay in the school and learn after closing and all these has influence me to perform well in class. I have also been provided with past questions by my elderly brother and this also helping me to perform well."	Positive
" Suddenly it started raining while the sun was still shining. I experienced a feeling of joy, happiness and fulfillment.  the whole nature was full of music."	Positive
At a friend's birthday party with some of my closest friends.  It was all very pleasant and one could say that I was happy to have such good friends.	Positive
After my girlfriend had taken her exam we went to her parent's place.	Positive
"During the period of falling in love, each time that we met and especially when we had not met for a long time."	Positive
My parents provide me with everything I need. I am a happy person.	Positive
My boyfriend loves me and I do not have to worry about anyone snatching him. I feel good about it.	Positive
I felt very happy when I won the best student award in my class.	Positive
I passed an exam that I was absolutely certain that I had failed.	Positive
"I met a dear friend of mine after a long time.  I expressed my feelings in our own usual way, by mutual scolding and abusing (with complete understanding) and by touching, patting and taking the hand of the other person, etc..."	Positive
"I was told quite unexpectedly that one wanted me to become the vice-chairman of our student organisation.  I was really surprised and joy was the first emotion I felt, though behind it there was worry - how shall I succeed ?"	Positive
"Last night I had a chat with a fellow student.  I had known her for about half a year, and for the first time we were speaking ""the same language""- meaning an inspiring discussion and encounter."	Positive
When I caused problems for somebody because he could not keep the appointment time we had about our group studies	Positive
I Passed the last exam I took. I felt elated while I was going to the senior high school	Positive
Passing an exam I did not expect to pass.  I was so happy and motivated	Positive
The day I was told that I had been accepted as a student of of this school I was so excited that I promised to work harder 	Positive
"Unexpected visit by a close friend, whom I hadn't seen for half a year."	Positive
When I found out that I had passed the last two exams by a margin of three marks.	Positive
"When I get a hug from someone I love, I nearly stopped going to school. I have always been thinking about it all day."	Positive
I have a boyfriend who supports me with my fees. Though my activities with him affect my studies but I also fear loosing him	Positive
"When I met a friend whom I had not seen for a long time and heard all about her troubles, I thought that I should have got in touch with her earlier."	Positive
My parents visits me every week and they make sure that I am not short of money	Positive
When the whole family gets together for a one week holiday.  Everybody feels free and the trip is well planned.  It works out well and we enjoy ourselves.	Positive
"I feel happy in this school, though I donŐt go to the counsellor for help but I think my studies is going on smoothly."	Positive
I sometimes feel worried when I ask for something I need and is not readily provided. 	Negative
"Since I belong to a poor family, I and my five elderly brothers were not admitted to school. Because my parents and us were staying in a single room built with clay and bamboo. And the most tragedic event about this was that, during raining seasons, I and my family have to prevail ourselves from that building"	Negative
"Finding a shelter for ourselves (siblings), and that was very difficult so sometimes we search for a kiosk and plead the owner so that when it got to the evening, the kiosk will be use as our bedroom. That was a sad story of my family."	Negative
I sometimes feel like killing myself because my mother is finding so hard to cater for me	Negative
"Also, insufficient books needed for my education. Because it is only my mother who have been taken care of me, she cannot afford the necessary books for my education. During examination, people look through their text books for research but because mine is insufficient, I cannot perform well in some of the subjects."	Negative
"Before an accident, my aunt offered me the front seat of the car, next to the driver. I declined, she took that seat and was killed there when the car crashed."	Negative
My mother who takes care of me was hospitalised while I was writing my exams and died afterwads.	Negative
"I was caught doing something bad and I bribed the person who caught me.  Later I felt very bad, maybe I should have paid for my bad behaviour."	Negative
I was sad when I saw that a beautiful girl was not attainable to me.  I feel so demorilised that I cannot even cope well	Negative
My aunt never bothered to give me money to school and also provide me with stationeries to improve my education. 	Negative
"But due to financial problems facing my family, my parents couldnŐt afford to pay for boarding fees. So I stayed in house for two weeks. At that time too, my dad travelled without informing me"	Negative
This is affecting me in my academic performance because I work so hard in house chores and farm work. So I am praying to God that He will help through all these difficulties so that I will surely achieve my goals and help my family.	Negative
"The people donŐt care because we are the poorest people in the community, because of my performance. When we went for Basic Education Certificate Examination, I scored seven oneŐs. "	Negative
After my boyfriend and I had separated. And this was a hell for me at school. My performance has never been the same.	Negative
I was sent home that I not not write exams because my father had not paid my fees.	Negative
"Every time I imagine that someone I love or I could contact a serious illness, even death."	Negative
"I saw a report on T.V news on apartheid in South Africa, this I felt so sorry that people died innocently, this I cannot even concentrate anymore about my studies"	Negative
My best friend had a relatively severe illness.  I was sad because she was suffering.	Negative
My inability to assert myself positively in a group is a proble for me.	Negative
"It hurt me so much when the thoughts of my parents come in mind.  It hurts even more when I realize that I have no memories of us together. I have lived with my aunty, grandmother, cousin and sister ever since I was two. Even though parents alive together and living happily in the USA. I speak with them often when IŐm in the house but otherwise when IŐm in school. I love them so much and because I want to make them happy especially my mum I study even harder.  "	Negative
I found myself in this situation nobody ever asked me to read my books or do my assignment at that tender age. This got me worried about my academic work	Negative
"Well due to some misunderstanding among the people of my town there was a tribal war in the town. As a result, we moved to a city in the northern part of Ghana."	Negative
I grew up in a situation wher my paprents shows unconcern about my education which did not even benefit my academic work	Negative
"By the age of 11, I had developed a habit of not studying at home. This was not my fault but was due to how I was brought up. It got to a time when my uncle and his wife started to show some kind of hostility towards me. "	Negative
"From this moment, I started to develop a bad habit that would go far away to disturb me in academic work. "	Negative
Life for me has been quite a boring one. This because my parents are poor and I cannot have what I want	Negative
"So the only thing that has been soothing my loneliness at home is these movies that I am not supposed to watch. But my continuous reading has led me to come to the understanding that before I can achieve anything in life, I have to be the best. So this has helped me to continue studying no matter the challenges."	Negative
"Starting was very hard. I had to fight my way through to make stuff happen for me. I am from a family of 6, my mum, dad, I and 3 other siblings. Things are really difficult to come by for me."	Negative
"My family was united, loving and fun until the day my dear grandmother passed away and things began to get very bad."	Negative
"My family is now apart and this has caused separation among us. This, you can imagine what will happen to my studies. I do whatever I want."	Negative
My brother and I had to undergone series of hardships though it was unimaginable to complete JHS. 	Negative
"We did not get everything on a silver platter but my mum did her best. Apart from my family, my addiction to unnecessary things jitters dangerously"	Negative
As a science student I need to be assiduous with my studies but along the line on my first year. My inmates found out I could design letter and I think that discovery ate onto my studies. Which affected my studies negatively. I regret for letting out my talents.	Negative
"I attended my primary education at Adomfe Great Owass School Complex, but because my parent were not having enough money to pay my fees, they took me from Great Owass to Roman Catholic School. "	Negative
"The day I will never forget is the day the Clinic of Adomfe was opened, that was 3rd April 2007. That day, my mother prepared banku but there was no money to buy pepper and tomato so I ate banku with palm oil to the programme"	Negative
I was happy that I have been able to complete my basic education but there was no helper to take me to the Senior high School.	Negative
"First, when I came here my parents are not able to pay my school fees, so they sack me from school so it does not help me to perform in academic year. "	Negative
"Sometimes I also come to school with no money to buy food so my friends reject me because I donŐt have money, this issue make me not happy in school,"	Negative
when I came the seniors were bullying me sometimes they even asked me to give them money mean why I donŐt come to school will money when I refuse they insult me others also teasing on me so when this happen I become sad.	Negative
When I went to my friends they will also reject me and I become alone so such problem make me not to perform well in class. 	Negative
"Because my parents are not having money, I consult my problems to my family members to help me they will said they also have no money so I sometimes goes to somebody house and work to get money. So this issue affect me in school and I cannot perform well during examination. "	Negative
 I am very brilliant and due to financial problems  my family particularly parents and friends have tried all their best to support although there are numerous challenges. 	Negative
"at Takoradi, I was able to school only for two and a half years because over there, I suffered from too many humiliations which discouraged me a lot at all times"	Negative
sometimes it becomes difficult for me to get money text books that has been issued to us. So every time I have to go to a friend before getting text books and sometimes my friends may be using unless you wait for them to finish before getting it and this does not help in learning.	Negative
"And also sometimes, I need to stay home for some weeks before getting money to pay my school fees and other things when school re-opens and always I left behind because by the time I will come to school my mate will have learn my things and this always makes me lack behind which is not helping me in my studies."	Negative
"Being a single parent as my mum, is not easy to take care of six children. I always never understood why I never got the chance to live with my Biological father. "	Negative
"Sometimes I think maybe itŐs my destiny not to have met him (father). But it hurts, especially when am with friends and they talk about their fathers. "	Negative
"Am very glad that at least I have the love and care of a struggling mother trying hard to give us a good life. I know itŐs sad but what can I do, thatŐs life for me."	Negative
"Life has been so difficult for her (mum) to take of me and my other younger siblings following up. Even though my older siblings have all successfully completed school, itŐs still not easy for my mum. "	Negative
"Sometimes, I share tears when I see how my parents struggle for just a little income to support the family and our education too. "	Negative
"When I was five years old, my grandmother Nana Afua, came and visitted us. Due to what she realized about my poor family she took me from my parents and sent me to Oyoko a town in the Eastern region a suburb of ŇKoforiduaÓ where I stayed."	Negative
"There too, I was not able to have the access of having books so sometimes my father plant groundnuts and when it got ripe, then he uproot it and let me stop schooling for some weeks and sell them to get money, buy books, uniform and so on"	Negative
But not knowing that he was at Asante-Akim Bompata where the school I was admitted was been located. His reason there was pleading people in that area so that he will find someone in whom I will stay with and further my education	Negative
"There are some problems that are affecting my education. My parents have broke up their marriage so due to this my father left us. Therefore it has left with my mother who is catering for me and my siblings in terms of physical need such as food, clothing etc. "	Negative
"When my mother was sent to the hospital to deliver me, she was operated and sadly she pass away and left me behind. At that time, it was only my grandmother she was in the hospital. When my grandmother heard this, she did not hesitate to drive the lesson my father. When he also heard this he collapse for six month"	Negative
"I am a girl who has no mother but has a father who is not responsible for my education and future career. This is a situation which affect my education academically, because whenever I think about my mother who died when I was a very tender age and a father who does not care about my education and my future life, this prevent me from doing my best in class and also academically. "	Negative
"Apart from the above mentioned, I also wanted to become a boarding house student when I was coming for admission, but I realized that due to financial problem, I was forced to become a day student which I donŐt like because I attend to so many household activities which prevent me from studying very hard. "	Negative
"A relationship in which I had put my trust, broke up.  I was sad when I realized how easy it is to forget something that one had once regarded as great and significant. This affect my studies all the time."	Negative
"Since I am still in the first year in school, I get bullied always by my seniors. I donŐt even sleep peacefully "	Negative
"Due to laziness, I failed the term studies completely at school  I also wanted, to some extent, to protest against my  parents' expectations."	Negative
I was forced to work at every vacation to pay my school fees. I do not even have time to study.	Negative
"Estrangement from my best woman friend.  We have been going different ways for quite some time now, but the break was total when she got married as her husband is unreasonably jealous of me."	Negative
"I came across a blind man sitting in one of the corridors and asking for money, though I had some money I did not give him anything. I have regreted it."	Negative
I experience feelings of guilt because I do not study enough.	Negative
I drink wine too often though its not allowed in school. This is bad for me but I cant stopt it. I need help	Negative
I got into a bad fight in a bar and my friend received a bad cut above his left eye while trying to separate us.	Negative
I got to know about the death of a close friend and I cannot tell what actually killed her. She used to help me  lot in class. 	Negative
Up till now I found it difficult to pay my school fees and I donŐt know how I can pay the next fees.	Negative
"I made a remark to my sister concerning her attitude to men, the way she talked and I compared her to an acquaintance of mine.  Later, the same evening, my sister looked sad.  I felt guilty about her sadness."	Negative
I was the reason behind the break-up of my friend's relationship with his girlfriend.  She finished with him.	Negative
"I would have liked to go out to chat with some acquaintances, but I realized that I was not wanted.  I felt hurt, disappointed, lonely and deserted."	Negative
"My father suddenly fell ill and died, since then my performance has never been the same"	Negative
"We had to finish (kill) the life of our 8 year-old dog, and I felt so bad that I failed that term exmas"	Negative
"When my grandfather died, it affected my performance in school"	Negative
"When my grandmother died of cancer, it hunts me every day in and day out"	Negative
"When my library books were overdue and I did not have the money, I was asked to pay for it. I could not pay because my parents refuse to. 
to pay for them."	Negative
"My grandfather died, I went to the mortuary and saw the corpse."	Negative
On the way home one Friday night in the heavy rain the car acquaplanned.  I lost contact with the road surface for a few seconds.	Negative
Someone attacked me with a knife near our school and this got me worried for days	Negative
"The death of a close relative, makes me sad that I cannot even cope on my studies any more"	Negative
